overall,reviewerID,asin
5.0,AJSZZ4EBYE9YX,B00005N7P0
3.0,A1RPKD9E294OTX,B00005N7P0
4.0,A2QFUUR52KZI9Z,B00005N7P0
5.0,A3P55836AE5VRY,B00005N7P0
5.0,A3KMILYR935CHF,B00005N7P0
1.0,A112OID07NKUTM,B00005N7P0
5.0,AXO0BHQFBSMJO,B00005N7P0
4.0,A13L1VQHJHSW6G,B00005N7P0
2.0,A1KL17ER98VUHC,B00005N7P0
4.0,A15BN1AMRT8FP1,B00005N7P0
5.0,A1VKU9PDT5ZKHY,B00005N7P0
4.0,A1YLVUBTV7XGBP,B00005N7P0
4.0,A3C8EO3XJ8M1SQ,B00005N7P0
3.0,A150VD7UM1NVL7,B00005N7P0
5.0,AXH62CD4Y821V,B00005N7P0
5.0,A3H4Z52P36CXVE,B00005N7PS
4.0,A1P57DBMNB13KE,B00005N7PS
4.0,A21GM3ZIG7SJTN,B00005N7PS
5.0,AXURLO7NJQOTC,B00005N7PS
5.0,A29T69AEGP3GDG,B00005N7PS
5.0,A2M3D4GQNTMIIE,B00005N7PS
3.0,A2H7KHOL5W3QQY,B00005N7PS
4.0,A1N8F912MQRIE2,B00005N7PS
1.0,A1SFRBCMW8XVBW,B00005N7PS
3.0,A2P1CE9CC6BRVF,B00005N7PS
1.0,A3IPPP622UF6N1,B00005N7OD
1.0,A6WPF246AIY4F,B00005N7OD
1.0,AVCN3H0YMAT47,B00005N7OD
1.0,A2TXDJ50XSFIB4,B00005N7OD
2.0,A2CLBWY7QIDMHG,B00005N7OD
1.0,A3NNFQ3KV5SD5S,B00005N7OD
5.0,A4JRH82051L9F,B00005N7OD
1.0,A3EQV0ZSI01BV9,B00005N7OD
3.0,A1MWFQI1XVFV2S,B00005N7OD
1.0,ALJQ038O7TAE4,B00005N7OD
5.0,A1KW68OP8JGZN7,B00005N7P0
5.0,A2UJDH31NU6LGI,B00005N7P0
3.0,A1D4W34E41UINV,B00005N7P0
5.0,A1IU9VPCBKZPE8,B00005N7P0
5.0,A22IABOCSE7G43,B00005N7P0
2.0,A3O1FXCO5LZHKP,B00005N7P0
4.0,A3UPY133KOTFJC,B00005N7P0
5.0,A303X6GZK08WUT,B00005N7P0
4.0,AQZRBU1UWMYED,B00005N7P0
5.0,AVKZ6PSXX72A7,B00005N7P0
1.0,A3SFHMKLO59SNB,B00005N7Q1
1.0,A12W92HKRTD08F,B00005N7Q1
2.0,ARRAW6GZDZXY1,B00005N7Q1
5.0,A2C25ATIV2IGMK,B00005N7Q1
5.0,A3JEHMYNXU7FFC,B00005N7Q1
5.0,A1M0OAGTV212R7,B00005N7Q1
5.0,A2EJP9H6G3BPAV,B00005N7Q1
5.0,A3FCON8N6PJIZB,B00005N7Q1
4.0,A1WJ56EUJGZVF,B00005N7Q1
4.0,AJR5YI0AJK93J,B00005N7Q1
1.0,A28C5VS2EF7YJG,B00005N7PS
5.0,A3NLVHGP3D7ADP,B00005N7PS
5.0,A19IVUFYLY47F2,B00005N7PS
2.0,A29KU0K1YN0XU5,B00005N7PS
4.0,AM0T0AKLN5GZB,B00005N7PS
5.0,A5BZBD7CYCD2P,B00005N7PS
5.0,AB00KQZ88BSAZ,B00005N7PS
3.0,A2BUY0H9SOVBH3,B00005N7PS
5.0,A317FCZV1PG81T,B00005N7PS
3.0,AHRWSHIMCV963,B00005N7PS
5.0,A9Q28YTLYREO7,B00005N7OU
5.0,A1I0HUXO5KWN8O,B00005N7OU
4.0,A1WGY6MZDZ1H9J,B00005N7OU
5.0,AOMZTGO51ONDA,B00005N7OU
3.0,A2MDVO0ET00EAE,B00005N7P0
4.0,A7VC3OHVCH47B,B00005N7P0
4.0,ASN6C11MUMR4V,B00005N7P0
1.0,A1EHWT1K3VRVKS,B00005N7P0
5.0,A2CVQ25SHQFVX9,B00005N7P0
3.0,A21RTS6ZW1JPR0,B00005N7P0
1.0,A23SRTTBUVVDX6,B00005N7P0
4.0,A21ML571MPRGXC,B00005N7P0
5.0,A2Q9S20S0B0O1,B00005N7P0
5.0,A36QWEKKZUUUB2,B00005N7P0
5.0,A2YJCKPVSNIEX,B00005N7PS
5.0,AJIHQ3ZRRTBG8,B00005N7PS
3.0,A3LIRKSHS4F9SV,B00005N7PS
1.0,A1Q0W1J23FLMAC,B00005N7PS
5.0,A2TMP0M3JIKJC6,B00005N7PS
5.0,A1LUVA73FSGEVI,B00005N7PS
5.0,ALXN5D0NNEAY1,B00005N7PS
5.0,A2I2X57GERB4QA,B00005N7PS
4.0,A3PDEDVXA8A95F,B00005N7PS
1.0,A2ZWTFZRNQW7D5,B00005N7PS
1.0,A32NYM0DCZ6R1M,B00005N7P0
3.0,A2GMT03J28BHYF,B00005N7P0
4.0,A2E9Y9YI3TDWCE,B00005N7P0
4.0,A2YW6XOID7GV6G,B00005N7P0
1.0,A2FXNQ08KMSKA3,B00005N7P0
5.0,A2MS4YH4XF6V5C,B00005N7P0
1.0,A3L2UZLJZKDUTY,B00005N7P0
1.0,A3UFFPJ1ESYFMP,B00005N7P0
4.0,A1NMSGYZ92BROQ,B00005N7P0
3.0,ALPYY8JY6L3OS,B00005N7P0
5.0,A1DP64ZVZJUR8P,B00005N7OD
1.0,A28HPOK8C39CO1,B00005N7OD
1.0,A2O9QY55VEKGDH,B00005N7OD
1.0,A3IO33DUTSRSFS,B00005N7OD
1.0,A3ILJS3Q5FGW7X,B00005N7OD
1.0,A2X77RJOP1BFCG,B00005N7OD
2.0,A2XU18GW8RXVJL,B00005N7OD
1.0,A3QIHUOV5IAT0N,B00005N7OD
1.0,A3OWTNY9H7KFQR,B00005N7OD
4.0,A1RVM6W2YI7568,B00005N7PS
3.0,A272P1S54T9E9E,B00005N7PS
3.0,A1U8U70F7V110U,B00005N7PS
4.0,A1JR6ZJNS7823N,B00005N7PS
3.0,A218NYHPQ2RTXL,B00005N7PS
4.0,A1WAWNUDPXI23R,B00005N7PS
2.0,ANU0F060RSB4D,B00005N7PS
2.0,ANTNA7JTP686X,B00005N7PS
2.0,A2W7ZNYNSPS619,B00005N7PS
2.0,AJ83E5N06MC0T,B00005N7PS
1.0,ASI8MJYHJFXZV,B00005N7Q1
1.0,A37ISCWSAR0R9L,B00005N7Q1
1.0,A15INOMS30BOUT,B00005N7Q1
5.0,A1CTAJQ6N3SOVI,B00005N7Q1
5.0,A2VG8N7ALVYAVL,B00005N7Q1
5.0,A3GHUXTBNEA9PI,B00005N7Q1
5.0,A1063BS4W8YHHE,B00005N7Q1
5.0,A395PV75EKIAH6,B00005N7Q1
2.0,AZWVOET8QZZV8,B00005N7Q1
5.0,A3EMIWWUA5LN9Q,B00005N7Q1
4.0,AS2TX7V9Q255X,B00005N7P0
5.0,AJVRD3EFV3H4Z,B00005N7P0
5.0,A2KIU9UIY5XTB2,B00005N7P0
1.0,AC6X7K4U2BGQ4,B00005N7P0
5.0,AWNHZ6IV8M5CN,B00005N7P0
5.0,AKFPNQ66DXCZQ,B00005N7P0
5.0,A37UA16QMYVL5K,B00005N7P0
1.0,A2BUCI6OL59FNB,B00005N7P0
5.0,A6AAHFTNBWB21,B00005N7P0
5.0,A2LZ4EVZADL3H2,B00005N7P0
5.0,A2HJGGKX81RBXR,B00005N7OU
5.0,ASN09SCHJXOJV,B00005N7OU
5.0,ABPATAYAWXXAI,B00005N7OU
5.0,AJ0YDAXX2FC6K,B00005N7OU
4.0,A1SP8HCJ1MCE89,B00005N7OU
4.0,AMVC9WTXYKNJ1,B00005N7OU
5.0,A371E0L0B0YJGM,B00005N7OU
1.0,ABV5HC4QO4PBW,B00005N7OU
5.0,A2EP2X24WFLG4I,B00005N7OU
5.0,A2S8UGUCJH1C9S,B00005N7OU
5.0,A24H37KH8IY24V,B00005N7PS
3.0,A297VPKPW55X67,B00005N7PS
4.0,A1DOX1RVD5KVMH,B00005N7PS
1.0,A28X7NZ02016FO,B00005N7PS
5.0,ACH7QV21BRXLY,B00005N7PS
4.0,AG6TX1ZJHLMO7,B00005N7PS
2.0,AMP7TQRWAIE84,B00005N7PS
2.0,A3G7WKGHLBOSGG,B00005N7PS
5.0,A52Y39SZ0HMRX,B00005N7PS
5.0,A1T61QP7QHYBRQ,B00005N7PS
3.0,A3DZ8MTKQA3CFB,B00005N7OD
4.0,A1CD786520G3KL,B00005N7OD
1.0,A3P8ZUU02GP09Y,B00005N7OD
2.0,A3ML8FZ1KM3ZRP,B00005N7OD
2.0,A2OE6AHC8L9HPE,B00005N7OD
4.0,A2FJQ9BKUADZ0A,B00005N7OD
3.0,A1CRRNTUH7GU6A,B00005N7OD
4.0,AMOTWVOJIP2CT,B00005N7OD
4.0,A1T1I2M7Y2XMED,B00005N7OD
5.0,A4EG0NT5BJRUF,B00005N7OD
4.0,ABV3OEEYJCVHK,B00005N7P0
4.0,A27JBL1VC49N7Q,B00005N7P0
5.0,A3774MBQJ66HJS,B00005N7P0
1.0,A2D43UG785VLEY,B00005N7P0
5.0,A5KU8WCPNIC1S,B00005N7P0
4.0,A1YVCGV8G16OMM,B00005N7P0
3.0,A7J7RCN3ORSZI,B00005N7P0
5.0,A3OIE7IE9LTPJG,B00005N7P0
5.0,A1XYDI6ZZX12AV,B00005N7P0
1.0,A1047EDJ84IMAS,B00005N7P0
2.0,AMNTZU1YQN1TH,B00005N7OU
5.0,A1MVH1WLYDHZ49,B00005N7OU
3.0,AXPAIEE0732A9,B00005N7OU
5.0,A2865IOZJSFJGX,B00005N7OU
5.0,A39W0UH2F3QK3I,B00005N7OU
1.0,AK2RNPCHB83EW,B00005N7OU
3.0,AF5FTJL71VB7L,B00005N7OU
4.0,A1XRDY1BS66TDR,B00005N7OU
1.0,A15BNULICMH470,B00005N7OU
1.0,A3VWOBQT9220I9,B00005N7OU
1.0,A707PRZBQ1MB2,B00005N7OU
5.0,A23ERQBHXIZLY6,B00005N7OU
4.0,A20UFOPYGGHHZ,B00005N7OU
5.0,AMG4ZO3GV71YZ,B00005N7OU
3.0,A3BMI7JSJDKFGP,B00005N7OU
4.0,A1RPTVW5VEOSI,B00005N7OU
5.0,A2N0SJHO52I0Y7,B00005N7OU
5.0,A1PXDS5P5TRZWN,B00005N7OU
1.0,A25B533O9AHQIP,B00005N7OU
3.0,ARLZ8GX3R73UZ,B00005N7PS
1.0,A3TD6RN8H7LCDG,B00005N7PS
3.0,AAEK6VH8PJNI4,B00005N7PS
5.0,AIHMQ6AYIAQJM,B00005N7PS
5.0,A343N4XW41HI51,B00005N7PS
5.0,ARRHW854LWOUS,B00005N7PS
3.0,A3JPFWKS83R49V,B00005N7PS
1.0,A2MAEZZDJP1J11,B00005N7PS
4.0,A3HGNSFKJXXY59,B00005N7PS
4.0,A3CJ7MHAS9IMAM,B00005N7PS
5.0,AAOUREH4NQ5DH,B00005N7OD
2.0,A2J7BW25IA6JHM,B00005N7OD
1.0,A2MEE3O0DW81ZL,B00005N7OD
5.0,AFDVXQW2KWBH2,B00005N7OD
5.0,A152XNPECZWAGG,B00005N7OD
5.0,A1Z9FJJUPPPQSQ,B00005N7OD
2.0,A1ZVXQ53X4EEXH,B00005N7OD
5.0,ADP818Z34AMC4,B00005N7OD
5.0,A3MXKD0CYH4GBJ,B00005N7OD
5.0,A3EWJIRBK66Q4I,B00005N7OD
5.0,A1ADML3GGODP5Q,B00005N7OD
5.0,A1AMC805GZTNM6,B00005N7OD
2.0,A37VR2T39FLDIR,B00005N7OD
4.0,A2AJUQCBACY31J,B00005N7OD
4.0,A1XQ87OTM9JY2H,B00005N7OD
5.0,A23H7UMFS5P6ER,B00005N7OD
5.0,A3B2YL5LQJ2ISF,B00005N7OD
5.0,AADC8J7H4ACIV,B00005N7OD
5.0,A24J0CAOSMMENN,B00005N7OD
5.0,A1IRUBACUZ943C,B00005N7OD
5.0,A2W9CHAKYOU46O,B00005N7Q1
5.0,A1JCR9WYOV43X,B00005N7Q1
4.0,A3MT9MSEVRQMOT,B00005N7Q1
5.0,A1VB1AFEZ4WBW5,B00005N7Q1
4.0,A3CTKN5MAAD3CM,B00005N7Q1
5.0,A1NIB472PUF163,B00005N7Q1
5.0,A1WFZ245LKRB2M,B00005N7Q1
1.0,A1PP1Q0QQG2ZZJ,B00005N7Q1
5.0,A2E6PCE0GRSUOQ,B00005N7Q1
1.0,A3N5HGARPVPF3J,B00005N7Q1
5.0,A1HZAJT0TI4IWO,B00005N7P0
5.0,AYZ8W4UV3GVGE,B00005N7P0
4.0,ABRZKXNIS0ML9,B00005N7P0
2.0,A2YJ1K8M0KPHMF,B00005N7P0
4.0,A345095Z6SDQR2,B00005N7P0
4.0,A1JLCHK0T0RJVT,B00005N7P0
5.0,A146BM425EVTP1,B00005N7P0
5.0,A3MWMO2IOQDWBJ,B00005N7P0
5.0,A3GNC0FJTH7ZO3,B00005N7P0
5.0,A9QMGJRB8IRTO,B00005N7OD
5.0,A2EJ04BP03ZV0K,B00005N7OD
1.0,A1DPEQ3EM1JEZQ,B00005N7OD
3.0,A2D0KBNT5DCJYN,B00005N7OD
1.0,A100NRVPI4UOH,B00005N7OD
5.0,AHFBEPUXHLGH7,B00005N7OD
1.0,A2WWEL90ER3G9O,B00005N7OD
4.0,A2MNSMO1CGFNSY,B00005N7OD
5.0,A3OKUJ6D3AGUCB,B00005N7OD
5.0,A1PBWK0ORTUUR4,B00005N7OD
5.0,A3GR5XP7LMRSZ2,B00005N7P0
5.0,A1BHON6PATERKP,B00005N7P0
4.0,A3JPFWKS83R49V,B00005N7P0
5.0,A2VW8DGPS5THR5,B00005N7P0
4.0,A3PYBQ4AEZ03YR,B00005N7P0
4.0,AGE30NTN3QEV0,B00005N7P0
5.0,A1HV2KNGP2W9TN,B00005N7P0
5.0,A3AK60HTYFPO2N,B00005N7P0
5.0,A1EPAO8ZVDM171,B00005N7P0
5.0,A3P269G4952ACS,B00005N7P0
1.0,A26GGBBXHBJZXA,B00005N7P0
4.0,A1088JT1L28OP5,B00005N7P0
3.0,A1KWU1E5LP2LPQ,B00005N7P0
5.0,A3TPA3JLPCX8RC,B00005N7P0
5.0,A33UAXEULFG6Z0,B00005N7P0
1.0,A44G24P5UOL70,B00005N7P0
1.0,A31BJ3UCRVMNAH,B00005N7P0
4.0,A3LBBZE985UAXH,B00005N7P0
1.0,A3I1KGZ35DYLRJ,B00005N7P0
4.0,A1YTRV2VXFGHNS,B00005N7P0
5.0,A3PN0PK6SGYUWC,B00005N7OD
5.0,A34M3PLFOEF3Z8,B00005N7OD
5.0,A1GYM75Q4H61N0,B00005N7OD
5.0,ATM4LQHO9NZMC,B00005N7OD
5.0,A2KDSG7103VL54,B00005N7OD
5.0,AOBBK6688904Z,B00005N7OD
5.0,A2Z3BSFX2G7AI0,B00005N7OD
5.0,A2J0IY1Q2IK51I,B00005N7OD
5.0,A1RKF90QFB5IGZ,B00005N7OD
3.0,A3BUKKL2420AZB,B00005N7OD
5.0,A1RUQFDAQOJD3F,B00005N7Q1
5.0,AKQA0OYJ24M19,B00005N7Q1
2.0,A3EGRGEJSRD9U3,B00005N7Q1
5.0,ALW8UEBARBI6G,B00005N7Q1
5.0,A2XAPNXTNHQPD5,B00005N7Q1
5.0,AY3Y6UP7NSH42,B00005N7Q1
5.0,A37N8KAZSDUKKO,B00005N7Q1
5.0,ASWUDB3XHZN77,B00005N7Q1
5.0,APA9T81ZYK2OF,B00005N7Q1
5.0,AV8MS8SJZYVRJ,B00005N7Q1
5.0,A3FB5EVLOCJ7G8,B00005N7OD
5.0,AF56AGX1O9MNO,B00005N7OD
5.0,A2GY8ZF9GMC9Y,B00005N7OD
5.0,A2UDUR1SPJFZSF,B00005N7OD
5.0,A33U4FKUN1T3B,B00005N7OD
5.0,A3KQXBK8QIX87F,B00005N7OD
5.0,A1O626RCX1G3J0,B00005N7OD
4.0,A26UR7Y13X4SGB,B00005N7OD
4.0,AWWROYCOGPXUI,B00005N7OD
5.0,ASX04FFHZIVZ5,B00005N7OD
5.0,A3OMSW88HWF25T,B00005N7P0
2.0,A1FYS18SEUA0A7,B00005N7P0
5.0,A2R8DUN757XKBI,B00005N7P0
5.0,A44RNWWIZRUZM,B00005N7P0
5.0,ANT7FZFIQG5RL,B00005N7P0
4.0,A3JJNSW1XHXX9B,B00005N7P0
5.0,A19YK9YYRBKHEX,B00005N7P0
5.0,AXW444VIV75UF,B00005N7P0
5.0,A3PES2OC2EUA7P,B00005N7P0
5.0,A1Q4ZU2Y929N0A,B00005N7P0
3.0,AFS8GC8RYEGTF,B00005N7Q1
5.0,A3CD9YBOMLVNWI,B00005N7Q1
5.0,A3GDX4C1HVM1NY,B00005N7Q1
3.0,A2IE6LCN9W5DXE,B00005N7Q1
5.0,A1F2XX3SAHC1VL,B00005N7Q1
5.0,A1N3Z72HB8ISET,B00005N7Q1
5.0,AXUK6AQUN8CO0,B00005N7Q1
5.0,AW5JE8G8O8XWQ,B00005N7Q1
5.0,A35UF94PZD0KSU,B00005N7Q1
5.0,A3QJGLYL2CEK7W,B00005N7Q1
5.0,AXDCA2CU2BNSG,B00005N7P0
5.0,A1PIQ3C8TQT2QG,B00005N7P0
5.0,A16859JXLFD63I,B00005N7P0
5.0,A24IVUAUSYU7PM,B00005N7P0
5.0,A2HAM22UE1B89T,B00005N7P0
5.0,A24B2LRZSN18C6,B00005N7P0
5.0,A2PSC7LUNIDEAH,B00005N7P0
1.0,A5RHZE7B8SV5Q,B00005N7P0
4.0,A90J5VZYPZP62,B00005N7P0
5.0,ANRSMWQZGJF77,B00005N7P0
5.0,AQCQKR6T8LUNQ,B00005N7Q1
4.0,AHWINH6S5969V,B00005N7Q1
5.0,A1H2WJSALF3E9U,B00005N7Q1
5.0,A1HO3JY12IHY3Y,B00005N7Q1
5.0,ASFHE31AGZB5E,B00005N7Q1
5.0,A1PQJTGAVG0DNW,B00005N7Q1
5.0,A29ASZ68VU8IAH,B00005N7Q1
5.0,A2421IR1D2MY0I,B00005N7Q1
5.0,A3MX5XJEZ8BA0U,B00005N7Q1
4.0,A2WZMZC2SQCAFJ,B00005N7Q1
5.0,A34UUIS90Z9AVY,B00005N7OD
5.0,A1F6HX9EONAB3L,B00005N7OD
5.0,AP2RWNPTXCKG9,B00005N7OD
5.0,AJTCLHPRF03I4,B00005N7OD
5.0,A3NPDPDH3XP7DU,B00005N7OD
5.0,A3MMMNOSV3JHX0,B00005N7OD
5.0,A11172DUYALDQK,B00005N7OD
5.0,A1JXB16E77MV6A,B00005N7OD
1.0,AG0H1L11Y4MNA,B00005N7OD
5.0,A3D5HJM101E0JM,B00005N7OD
5.0,A155ILXJW56ZGE,B00005N7P0
3.0,A5JLAU2ARJ0BO,B00005N7P0
5.0,A2M8YJISJAJ6FK,B00005N7P0
5.0,A2IYCC1VI6AUFD,B00005N7P0
5.0,A1GGATN5TGXQ5,B00005N7P0
5.0,A24IF945JVW2HB,B00005N7P0
1.0,A3F07KXDCGOKPF,B00005N7P0
5.0,A1517CCZZQDWIR,B00005N7P0
5.0,A1RE639VN6BLYD,B00005N7P0
5.0,A3C5JI7P73MPQQ,B00005N7Q1
5.0,A24SWZCMV2XYO8,B00005N7Q1
5.0,A10RV8PF0H86S4,B00005N7Q1
5.0,A3BF3L51NPLHBZ,B00005N7Q1
5.0,AN2BSMU9H6JZA,B00005N7Q1
5.0,A3NPS7NZD8SPVB,B00005N7Q1
4.0,AUDC9TMYV56W7,B00005N7Q1
5.0,A1CGKSF5CCMFBP,B00005N7Q1
5.0,A38ENU1KJWWI4C,B00005N7Q1
5.0,A3SC5YM6SIN6Z6,B00005N7Q1
5.0,A1B56ZQ9AUQSE5,B00005N7Q1
3.0,A240Z2WVUX634J,B00005N7Q1
5.0,A19SO6YG4WKVC5,B00005N7Q1
5.0,A2XOSL5KPWHKD0,B00005N7Q1
3.0,A16QWSB3POIQG6,B00005N7Q1
2.0,A1BWBDMXC6BJV5,B00005N7Q1
5.0,ASH3ALAIDLMQ8,B00005N7Q1
5.0,A24P76HQD5H1SZ,B00005N7Q1
5.0,A3CP40HX10Y9KL,B00005N7Q1
5.0,AXVQEA6SFAR10,B00005N7Q1
4.0,A3TIF8Y7D5QZ3H,B00005N7P0
5.0,A3DLZ57U7AT6EJ,B00005N7P0
5.0,A3BO1VM9CSCWW1,B00005N7P0
5.0,A257E4U95O3CHP,B00005N7P0
5.0,AB6WWY7R82AQV,B00005N7P0
5.0,A1J3CT6KBX748W,B00005N7P0
5.0,A3BZMEQ9ID2JPZ,B00005N7P0
5.0,AUQKNU8KWN3T6,B00005N7P0
5.0,AS2UOOMNAST5D,B00005N7P0
5.0,A2935TFW4EC16O,B00005N7P0
1.0,A23SMFW6JE5LAK,B00005N7OD
3.0,A307JX6GKMN522,B00005N7OD
1.0,A1L3XTWNNTFDKJ,B00005N7OD
4.0,A36ICGVFC0IG8F,B00005N7OD
5.0,AJBK3S6OYBORB,B00005N7OD
5.0,AZ0HINOWMIJ2X,B00005N7OD
5.0,A17MJJGUBZK0GV,B00005N7OD
5.0,AMKA7XOT216UE,B00005N7OD
5.0,A2EXHJSBSAS8NB,B00005N7OD
3.0,A1YS2UXZS9TL91,B00005N7OD
5.0,ALFVKTW68OIBJ,B00005N7Q1
3.0,A1DZVZS8M7AK4Q,B00005N7Q1
1.0,ATHLM7BZVG5TQ,B00005N7Q1
5.0,A3U93OBTE1TEAN,B00005N7Q1
5.0,A3N1SVORTSCTVY,B00005N7Q1
5.0,AFT8PAYT40W2M,B00005N7Q1
5.0,A3OGSKSK373JGU,B00005N7Q1
5.0,A28L4PGSLBP3HH,B00005N7Q1
5.0,A3TF77C5HNJBJO,B00005N7Q1
4.0,AWLBEPFFSIYHP,B00005N7Q1
5.0,A1TCMYV6YFVMZU,B00005N7P0
4.0,A3OH952TGTKX6Y,B00005N7P0
1.0,A1HI4H19XV9CAO,B00005N7P0
1.0,A1DCJV756ULHPV,B00005N7P0
5.0,A33VY59YM5XJV7,B00005N7P0
4.0,AT4AV7XIQDKQP,B00005N7P0
1.0,AR2GRS90J1AIM,B00005N7P0
5.0,A1PNZV9C1YZVCP,B00005N7P0
4.0,A2HR8U7KBLSX94,B00005N7P0
3.0,A1UFX9UTKU9SOI,B00005N7OD
5.0,A3JXKEDSZTA8BG,B00005N7OD
1.0,A3I25LPGZA0UNT,B00005N7OD
5.0,A3QVC3L6QNH8AX,B00005N7OD
4.0,A3MV2WCFE63GWP,B00005N7OD
5.0,A1SU75KG3A4RO5,B00005N7OD
3.0,A2EAVW9W48C28T,B00005N7OD
5.0,A2ZQTHGGDPZJQQ,B00005N7OD
5.0,A26T99XEY7MC0T,B00005N7OD
1.0,A2OSLJ4AWKW5VY,B00005N7OD
5.0,A203GP3E7MA206,B00005N7Q1
5.0,A3KRI4J3L6VEY8,B00005N7Q1
1.0,A1R34IG67LS2QJ,B00005N7Q1
1.0,A1UZXFITTFQHQ7,B00005N7Q1
5.0,A1QUYU9SVCJJFK,B00005N7Q1
