reviewerID,reviewerName,grupo
A2CVQ25SHQFVX9,E. Franchuk,A
A21RTS6ZW1JPR0,09 xboxhelper,B
A23SRTTBUVVDX6,Zanocchi Garcia,B
A21ML571MPRGXC,Roy Fernbach,B
A2Q9S20S0B0O1,Down wind,A
A36QWEKKZUUUB2,ki no,A
A2YJCKPVSNIEX,william rosasco,B
AJIHQ3ZRRTBG8,Byron D. Smith,B
A3LIRKSHS4F9SV,David DeMartini,B
A1Q0W1J23FLMAC,"Mobile, AL Tide",B
A2TMP0M3JIKJC6,Lincoln,B
A1LUVA73FSGEVI,Kahmeela Adams,A
ALXN5D0NNEAY1,Shaun,A
A2I2X57GERB4QA,Stanluca L.,A
A3PDEDVXA8A95F,Beto,B
A2ZWTFZRNQW7D5,Jeremy Storly,B
A32NYM0DCZ6R1M,Shawn,A
A2GMT03J28BHYF,Douglas K. Mors,A
A2E9Y9YI3TDWCE,Amazon Customer,A
A2YW6XOID7GV6G,Amazon Stockhol,B
A2FXNQ08KMSKA3,uRock,A
A2MS4YH4XF6V5C,Amazon Customer,B
A3L2UZLJZKDUTY,Trust Me,B
A3UFFPJ1ESYFMP,J. Sherman,A
A1NMSGYZ92BROQ,Norm Shelton,A
ALPYY8JY6L3OS,Mike Walsh,A
A1DP64ZVZJUR8P,Colette Martin,B
A28HPOK8C39CO1,Chikira Cotten,B
A2O9QY55VEKGDH,call me Gracie,B
A3IO33DUTSRSFS,sbrucie,A
A3ILJS3Q5FGW7X,TrumpQueen,B
A2X77RJOP1BFCG,Amanda D,B
A2XU18GW8RXVJL,glenk,B
A3QIHUOV5IAT0N,M. Terry,A
A3OWTNY9H7KFQR,Amazon Customer,B
A1RVM6W2YI7568,Savvy Guy,A
A272P1S54T9E9E,Logan,B
A1U8U70F7V110U,Penname,A
A1JR6ZJNS7823N,K. Blek,B
A218NYHPQ2RTXL,D. L. Patague,A
A1WAWNUDPXI23R,Audio Maven,B
ANU0F060RSB4D,Neel,B
ANTNA7JTP686X,CoasterFan,A
A2W7ZNYNSPS619,Alex,A
AJ83E5N06MC0T,Josh Popichak,A
ASI8MJYHJFXZV,Amazon Customer,A
A37ISCWSAR0R9L,pdlngrb,A
A15INOMS30BOUT,lisa mooooodina,A
A1CTAJQ6N3SOVI,Watson,B
A2VG8N7ALVYAVL,Brody Robinaugh,A
A3GHUXTBNEA9PI,Nancy Carey,A
A1063BS4W8YHHE,Amazon Customer,A
A395PV75EKIAH6,Nanuk of the No,A
AZWVOET8QZZV8,Aida Hurtado,A
A3EMIWWUA5LN9Q,moonlooker,A
AS2TX7V9Q255X,Derek J. Cuswor,B
AJVRD3EFV3H4Z,Frederick Schec,B
A2KIU9UIY5XTB2,Member,A
AC6X7K4U2BGQ4,The Truth Hurts,B
AWNHZ6IV8M5CN,chuckp,B
AKFPNQ66DXCZQ,Amazon Customer,A
A37UA16QMYVL5K,SysEngineer03,B
A2BUCI6OL59FNB,R. E. Miller,A
A6AAHFTNBWB21,Jeffrey Jahnke,A
A2LZ4EVZADL3H2,L. Anderson,B
A2HJGGKX81RBXR,Sondra,A
ASN09SCHJXOJV,Laura Parker,B
ABPATAYAWXXAI,Amazon Customer,A
AJ0YDAXX2FC6K,T-Dirt_Todd-n-T,B
A1SP8HCJ1MCE89,Eduardo E. Jime,A
AMVC9WTXYKNJ1,J. Edgar Miheli,B
A371E0L0B0YJGM,Jennifer B.,A
ABV5HC4QO4PBW,childoflight36,B
A2EP2X24WFLG4I,Zebra Girl,B
A2S8UGUCJH1C9S,Lil&#039; Eddie,B
A24H37KH8IY24V,Christina M. Pr,A
A297VPKPW55X67,H.B.,A
A1DOX1RVD5KVMH,ChristianDSG,A
A28X7NZ02016FO,eCognition,A
ACH7QV21BRXLY,Greg Darden,A
AG6TX1ZJHLMO7,W. Dietrich,A
AMP7TQRWAIE84,Adrian Cooper,A
A3G7WKGHLBOSGG,W. Hancock,B
A52Y39SZ0HMRX,Ezlypist,B
A1T61QP7QHYBRQ,an honest revie,B
A3DZ8MTKQA3CFB,Amazon Customer,A
A1CD786520G3KL,Kindle Customer,B
A3P8ZUU02GP09Y,Emily,B
A3ML8FZ1KM3ZRP,showmel,A
A2OE6AHC8L9HPE,s little,A
A2FJQ9BKUADZ0A,sheryl,B
A1CRRNTUH7GU6A,Amazon Customer,A
AMOTWVOJIP2CT,Mary-Grace ,A
A1T1I2M7Y2XMED,Brenda,B
A4EG0NT5BJRUF,Newsstand-KU,B
ABV3OEEYJCVHK,M. Matthias,B
A27JBL1VC49N7Q,Gary Brill,A
A3774MBQJ66HJS,S. Cameron,B
A2D43UG785VLEY,Ellyn,A
A5KU8WCPNIC1S,ALOYSIUS BASTIE,B
A1YVCGV8G16OMM,Nathan,B
A7J7RCN3ORSZI,Eric W. Brooksh,A
A3OIE7IE9LTPJG,GatorMan,B
A1XYDI6ZZX12AV,klu,B
A1047EDJ84IMAS,Bea,B
AMNTZU1YQN1TH,Kurt Robair,B
A1MVH1WLYDHZ49,Captn&#039; Bob,A
AXPAIEE0732A9,Jack,B
A2865IOZJSFJGX,Knilc,B
A39W0UH2F3QK3I,Tony Medero,B
AK2RNPCHB83EW,Keith Russell,A
AF5FTJL71VB7L,gtaus,B
A1XRDY1BS66TDR,Spyder B,B
A15BNULICMH470,Mina J. Habibi,A
A3VWOBQT9220I9,C. Robson,B
A707PRZBQ1MB2,Lacey L. Lemmer,A
A23ERQBHXIZLY6,J. Resler,B
A20UFOPYGGHHZ,E. D. Daniels,B
AMG4ZO3GV71YZ,Brandon Blake,A
A3BMI7JSJDKFGP,Upset Subscribe,A
A2N0SJHO52I0Y7,LOW FREAK,A
A1PXDS5P5TRZWN,Cal Banyan,A
A25B533O9AHQIP,Leonard Sita,B
ARLZ8GX3R73UZ,J. Villasenor,B
A3TD6RN8H7LCDG,Yi Dong,B
AAEK6VH8PJNI4,C. K. Hornig,A
AIHMQ6AYIAQJM,Michael C. Alto,A
A343N4XW41HI51,Bargain Hunter,A
ARRHW854LWOUS,Terri L. Mcdani,B
A2MAEZZDJP1J11,J. Jansson,B
A3HGNSFKJXXY59,Ava Carmichael,A
A3CJ7MHAS9IMAM,Dom Miliano,A
AAOUREH4NQ5DH,annacwinter,B
A2J7BW25IA6JHM,Amazon Customer,B
A2MEE3O0DW81ZL,Amanda,A
AFDVXQW2KWBH2,Carol Ebeid,A
A152XNPECZWAGG,Olga,A
A1Z9FJJUPPPQSQ,Rachel King,B
A1ZVXQ53X4EEXH,Jessica,B
ADP818Z34AMC4,Stephanie,A
A3MXKD0CYH4GBJ,teresa reyes,A
A3EWJIRBK66Q4I,madelin,A
A1ADML3GGODP5Q,jason,A
A1AMC805GZTNM6,Amy Marshall,B
A37VR2T39FLDIR,Karen,B
A2AJUQCBACY31J,Marigrah60,B
A1XQ87OTM9JY2H,Booklady,A
A23H7UMFS5P6ER,Dee,A
A3B2YL5LQJ2ISF,Brianna Boland,B
AADC8J7H4ACIV,CB,B
A24J0CAOSMMENN,Emet,B
A1IRUBACUZ943C,Cindy McNutt,A
A2W9CHAKYOU46O,Stephen Musclow,A
A1JCR9WYOV43X,William Anderso,A
A3MT9MSEVRQMOT,EGR,A
A1VB1AFEZ4WBW5,Amazon Customer,B
A3CTKN5MAAD3CM,Edward G.,A
A1NIB472PUF163,Hiccup,A
A1WFZ245LKRB2M,Steve Crider,A
A1PP1Q0QQG2ZZJ,Josue D. Abreu ,A
A2E6PCE0GRSUOQ,christabell,A
A3N5HGARPVPF3J,Xuxu,B
A1HZAJT0TI4IWO,DbH,A
AYZ8W4UV3GVGE,Jay,B
ABRZKXNIS0ML9,Joshua Hull,B
A2YJ1K8M0KPHMF,techmannn,B
A345095Z6SDQR2,Ben,A
A1JLCHK0T0RJVT,Renelin Cox,A
A146BM425EVTP1,Jennifer Nuccit,B
A3MWMO2IOQDWBJ,R. Cushman,B
A3GNC0FJTH7ZO3,DadofThree,B
A9QMGJRB8IRTO,Kindle Customer,A
A2EJ04BP03ZV0K,Lakesha Walker,B
A1DPEQ3EM1JEZQ,tdouglas1206,B
A2D0KBNT5DCJYN,Lokelani,B
A100NRVPI4UOH,Amazon Customer,A
AHFBEPUXHLGH7,Davi K.,B
A2WWEL90ER3G9O,Joan McGee,A
A2MNSMO1CGFNSY,April Benson,B
A3OKUJ6D3AGUCB,Ousia,A
A1PBWK0ORTUUR4,Laura Tomah,A
A3GR5XP7LMRSZ2,David Odum,A
A1BHON6PATERKP,kazdaddy4life,A
A2VW8DGPS5THR5,Mike Ciardullo,A
A3PYBQ4AEZ03YR,D. Todd,B
AGE30NTN3QEV0,Scott Beamer,A
A1HV2KNGP2W9TN,Atomicat,B
A3AK60HTYFPO2N,Brett E. Lounsb,A
A1EPAO8ZVDM171,Natron,A
A3P269G4952ACS,Dovy,B
A26GGBBXHBJZXA,A. Kasyanov,A
A1088JT1L28OP5,F. Erck,A
A1KWU1E5LP2LPQ,Ronald D. Cleme,B
A3TPA3JLPCX8RC,C. Hower,B
A33UAXEULFG6Z0,Janice M. Hamil,B
A44G24P5UOL70,Kent Leverette,A
A31BJ3UCRVMNAH,Barbara St Char,A
A3LBBZE985UAXH,Harry G. Chambe,B
A3I1KGZ35DYLRJ,Linda Pak,A
A1YTRV2VXFGHNS,James Chopty,B
A3PN0PK6SGYUWC,Gladys G Schmit,B
A34M3PLFOEF3Z8,zelda smith,B
A1GYM75Q4H61N0,Lynn Meadows,B
ATM4LQHO9NZMC,Kelli Smyton,A
A2KDSG7103VL54,Jessica S,B
AOBBK6688904Z,Danielle Montgo,A
A2Z3BSFX2G7AI0,Amazon Customer,B
A2J0IY1Q2IK51I,Brenda F,A
A1RKF90QFB5IGZ,AB,B
A3BUKKL2420AZB,Big M,A
A1RUQFDAQOJD3F,Rob Hart,B
AKQA0OYJ24M19,John A Bielski ,A
A3EGRGEJSRD9U3,Ron,A
ALW8UEBARBI6G,steve,B
A2XAPNXTNHQPD5,Kelley,B
AY3Y6UP7NSH42,Rani,A
A37N8KAZSDUKKO,Amazon Customer,B
ASWUDB3XHZN77,Dory,B
APA9T81ZYK2OF,j1010cam,A
AV8MS8SJZYVRJ,Jennifer L Scha,B
A3FB5EVLOCJ7G8,Jacqueline Stra,A
AF56AGX1O9MNO,Starlene L. Gro,B
A2GY8ZF9GMC9Y,Amazon Customer,B
A2UDUR1SPJFZSF,Samantha Etchan,B
A33U4FKUN1T3B,harry,B
A3KQXBK8QIX87F,Kitty Momma,B
A1O626RCX1G3J0,Happy Customer,B
A26UR7Y13X4SGB,Gabriela Rife,A
AWWROYCOGPXUI,Cindy J,B
ASX04FFHZIVZ5,ROSE m. BUSH,A
A3OMSW88HWF25T,Eric L. Sosa,B
A1FYS18SEUA0A7,Rusty Shacklefo,B
A2R8DUN757XKBI,sifi63,B
A44RNWWIZRUZM,M. Stoebner,A
ANT7FZFIQG5RL,Gregory D. Schr,A
A3JJNSW1XHXX9B,HealthIT,B
A19YK9YYRBKHEX,williesbest2,B
AXW444VIV75UF,J. Brian Watkin,A
A3PES2OC2EUA7P,Shawn R. Butkus,A
A1Q4ZU2Y929N0A,Bruce Gray,B
AFS8GC8RYEGTF,barbara patton,A
A3CD9YBOMLVNWI,James P McComas,A
A3GDX4C1HVM1NY,Fishin&#039; Fo,A
A2IE6LCN9W5DXE,HipShopper,B
A1F2XX3SAHC1VL,Oasis Crew,A
A1N3Z72HB8ISET,P,B
AXUK6AQUN8CO0,Joy Davis,B
AW5JE8G8O8XWQ,Robert W. Touro,A
A35UF94PZD0KSU,JC,A
A3QJGLYL2CEK7W,Jim Gier,A
AXDCA2CU2BNSG,Amazon Customer,B
A1PIQ3C8TQT2QG,Amal,A
A16859JXLFD63I,Lauren,B
A24IVUAUSYU7PM,Seethroughmirro,B
A2HAM22UE1B89T,Amaiia,A
A24B2LRZSN18C6,Steven Dement,A
A2PSC7LUNIDEAH,Dmitry Kristal,B
A90J5VZYPZP62,William Barnum,A
ANRSMWQZGJF77,Amazon Customer,A
AQCQKR6T8LUNQ,boss lady,B
AHWINH6S5969V,RWJ,B
A1H2WJSALF3E9U,Papa T,B
A1HO3JY12IHY3Y,Jaime N. Conove,B
ASFHE31AGZB5E,Betsy Lay,B
A1PQJTGAVG0DNW,D. Baker,B
A29ASZ68VU8IAH,Dana,A
A2421IR1D2MY0I,Bryon H.,B
A3MX5XJEZ8BA0U,Cliff E.,A
A2WZMZC2SQCAFJ,Amazon Customer,B
A34UUIS90Z9AVY,Heather Wilson-,A
A1F6HX9EONAB3L,Amazon Customer,B
AP2RWNPTXCKG9,N. Bennett,B
AJTCLHPRF03I4,grace,A
A3NPDPDH3XP7DU,RL,B
A3MMMNOSV3JHX0,Judy Rollins,B
A11172DUYALDQK,N. gindin goren,B
A1JXB16E77MV6A,Laurie Belanger,B
AG0H1L11Y4MNA,T. Antonino,B
A3D5HJM101E0JM,Yvette  Levisto,A
A155ILXJW56ZGE,Jason B.,B
A5JLAU2ARJ0BO,Old-and-Wise,A
A2M8YJISJAJ6FK,Amazon Customer,B
A2IYCC1VI6AUFD,Terrill T  Hill,B
A1GGATN5TGXQ5,Aran Johnson,B
A24IF945JVW2HB,Brad Barrette,A
A3F07KXDCGOKPF,Amazon Customer,B
A1517CCZZQDWIR,Tom Paden,B
A1RE639VN6BLYD,Brian Lamatina,A
A3C5JI7P73MPQQ,Alice Ortiz,B
A24SWZCMV2XYO8,Kerry,B
A10RV8PF0H86S4,Kris Colvin,B
A3BF3L51NPLHBZ,&#039;Ol Smokey,B
AN2BSMU9H6JZA,evan y.,B
A3NPS7NZD8SPVB,Tom D,A
AUDC9TMYV56W7,just thought ya,A
A1CGKSF5CCMFBP,T. Young,A
A38ENU1KJWWI4C,Amazon Customer,A
A3SC5YM6SIN6Z6,Tom Tom,B
A1B56ZQ9AUQSE5,Pam Parker,A
A240Z2WVUX634J,KB,B
A19SO6YG4WKVC5,Christian,A
A2XOSL5KPWHKD0,Sue Theve,B
A16QWSB3POIQG6,Joshua Moore,A
A1BWBDMXC6BJV5,Bruce Jones,A
ASH3ALAIDLMQ8,Tyson,B
A24P76HQD5H1SZ,Ktownnana,B
A3CP40HX10Y9KL,Grannyof10,B
AXVQEA6SFAR10,Amazon Customer,A
A3TIF8Y7D5QZ3H,Amazon Customer,B
A3DLZ57U7AT6EJ,Andrew G,B
A3BO1VM9CSCWW1,Walter Reade,A
A257E4U95O3CHP,Wizard on holid,A
AB6WWY7R82AQV,Jon E. Martin,A
A1J3CT6KBX748W,Alfredo Gomez,B
A3BZMEQ9ID2JPZ,smyrgl,B
AUQKNU8KWN3T6,Chris Holmes,B
AS2UOOMNAST5D,Joe B.,A
A2935TFW4EC16O,J. Feng,A
A23SMFW6JE5LAK,Michael McAllis,A
A307JX6GKMN522,Angelique M. Ca,B
A1L3XTWNNTFDKJ,Pily Abad-Dumbo,B
A36ICGVFC0IG8F,Cyndee Youree,A
AJBK3S6OYBORB,Stephanie T,B
AZ0HINOWMIJ2X,C. Duhon,B
A17MJJGUBZK0GV,Lorraine Shinde,A
AMKA7XOT216UE,Angel Bird,B
A2EXHJSBSAS8NB,Tennille M.,B
A1YS2UXZS9TL91,Lucille G. Scha,A
ALFVKTW68OIBJ,Karen,B
A1DZVZS8M7AK4Q,Jimmie Halpin,A
ATHLM7BZVG5TQ,john,A
A3U93OBTE1TEAN,dannie cel,B
A3N1SVORTSCTVY,Michael A Dixon,A
AFT8PAYT40W2M,Victor  Brant E,A
A3OGSKSK373JGU,J. Grose,A
A28L4PGSLBP3HH,Lori Sipes,B
A3TF77C5HNJBJO,mary jo wyche,A
AWLBEPFFSIYHP,Ronald Smith,B
A1TCMYV6YFVMZU,Kevin W.J.,A
A3OH952TGTKX6Y,Jeanne Maloney,B
A1HI4H19XV9CAO,Amazon Customer,B
A1DCJV756ULHPV,Eric Lengefeld,A
A33VY59YM5XJV7,Mark P,B
AT4AV7XIQDKQP,Scott Reynolds,B
AR2GRS90J1AIM,ankank,B
A1PNZV9C1YZVCP,D. Hunter,A
A2HR8U7KBLSX94,Charles Peden,B
A1UFX9UTKU9SOI,Schuyler,B
A3JXKEDSZTA8BG,andrea hannak,A
A3I25LPGZA0UNT,Mel,A
A3QVC3L6QNH8AX,Romilla,B
A3MV2WCFE63GWP,Christy Perkins,A
A1SU75KG3A4RO5,Lady Parker,A
A2EAVW9W48C28T,Jan Barcelo,B
A2ZQTHGGDPZJQQ,Alice Saavedra,B
A26T99XEY7MC0T,Beverly Motayne,B
A2OSLJ4AWKW5VY,Amazon Customer,A
A203GP3E7MA206,pitsy88,B
A3KRI4J3L6VEY8,John S.,A
A1R34IG67LS2QJ,private,A
A1UZXFITTFQHQ7,jl6946,A
A1QUYU9SVCJJFK,Kathryn L. Will,B
A2TLKAAEIJHN2J,Beth J.,A
A3MIOBUHFFVKYC,Vincent Morrow,B
A1F56KJU59L41Z,Michael K. Muck,B
A34YY4293IE9H1,Lanyard Knot,A
A2FW1EDGADOCBR,Jefferson Guerr,A
A1MME4CXSSGF6O,Brass Hat,B
ADKJPEOWZ4XPE,P.D. Rev,B
A1WZPPKZLY8O6A,Gary D.,A
A22H6P9SP5PK98,prw,B
ADFYNR1UII0YW,Dave NC,A
A3RXSWD4RAIG1S,True-Review,B
A2DH2QZP7A7A3Q,Amazon Customer,A
A3DAAEGJ9DY5Y9,bob,B
A1WZ9F8RL6HRDH,Moxie,A
ATJE1LEOBRDG2,R. C. Sepulveda,B
A2T4347PYHP6RF,Dawn Goetz,A
AXU45L7CJRL1U,R.S,B
A98KHFJDTWSPN,Stefanie Guarin,A
A3LR1L74TGM432,Tina Marie,A
A3KLS4RM5SFAWD,missy wilson,A
A3P4ZYMVRFBP4R,Mz. Moore,B
A2IDDBXATRFEF8,tniris,B
A2LKNYEM31X6I1,Andree,A
A3R8UO41EP67QZ,Patti Almonte,B
A2JDH1RGGVPMPC,Anne in MA,B
A4VDPLFPPWFCV,Amazon Customer,B
AOIMUHZAF0BSS,Sheila Moore,A
A382LB1GGYH565,Steven R. Bergh,B
A2DMHCO6JP068M,Cordula,B
A1QYDH4DUNW6XV,James H. LaFon,A
A1QAQA7XLWKNTL,Walker,B
A2201F20M9QEW4,debbie,A
A12VLL4I3XDOL2,JRE,B
A3UOUON1PEO2LN,Griffin,A
A3DPB6Z9W991VB,Wilcox1976,A
A2PSM421PXBULE,V Betz,B
A3HLR4Y129VWJ1,kcryer,A
A3D0FMFN9L1JXY,hmicjm,B
AQJDVLLWELFJ1,Penny Lynne,B
AGU1CLGHTMKMP,vivian caraveo,A
A312XCTXRRDEMX,beachlover,A
AQTP5JSCTISMU,Mari,A
AZ84EZ9WQUIPA,whpcream,B
A4G48UNXSJ80,Tearsa Pecoraro,B
AQ106UQ9GTOXU,JJ,A
A1SXCVL4YN1RHQ,dwest,B
A1V26K6I0MG3JB,Gordo Shumway,A
A2YI14ZY745Q2S,Amazon Customer,A
A1QKUYIG38EFYQ,judson,A
A1WESW1MWVF247,Cheryl A. Stack,A
ATVIKXVKCRPR,Ken S,A
A1R96XQWDLAT6A,Opio,B
A2R9H4SEQYWLZF,Bobby Sledge,B
A3EGA730HBDI2F,Amazon Customer,A
AIM7TB9E696FM,Donboy,A
AX5C0V3ZU1XUN,Danielle Silva,B
A1EQD81JGKM24P,cabitang,B
A2CPF7BOTIBKAV,Pamela  Likely,B
A30JYNBOMN154L,Bunsam27,B
A98WI1QPC5BAY,Curious,B
AK26FO5GGILP9,Diana Dintino-S,B
A2GHU8I0P3HFRW,Wandrwoman,A
A2OGS1TI3CCELN,nyMom,B
A2HD5RGF111HBV,Debbie Wessels,A
A2AGVYYXLQY8TE,NaeNae,B
A15QUTMXQBQ0G9,Amazon Customer,B
A2YQL3K783CDAK,karpadem,B
A1DXGN7YC2K0J6,bruce,B
ASXWYDKS5RP7M,James Miller,B
A38DPGH7XP9H5G,ncrph,A
A2JW8GV0P5PUQB,A G,A
A3I89DK4NB6D2A,Therrmos,B
A2UKZQCJH9W24D,k2,A
A2XEITZLS4V4SO,Walter D.,A
A1S3TTMYSLZH00,Michael V.,B
AF9OYN557Z77I,alexis,B
A1EGNS3P3ZORAQ,Pick E.,B
